State,Total_Confirmed_case,Total_Active_case,Total_Recovered,Total_Death
Lagos,8407,6848,1436,123
FCT,1549,1046,475,28
Kano,1184,422,712,50
Rivers,866,480,356,30
Oyo,860,569,282,9
Edo,779,587,161,31
Ogun,623,250,358,15
Kaduna,552,256,286,10
Delta,501,360,124,17
Borno,466,82,353,31
Gombe,451,211,226,14
Bauchi,447,114,322,11
Katsina,426,171,233,22
Jigawa,317,120,191,6
Ebonyi,234,97,137,0
Abia,221,125,93,3
Plateau,220,101,114,5
Imo,205,181,21,3
Nasarawa,184,90,88,6
Kwara,180,52,122,6
Bayelsa,155,117,29,9
Sokoto,135,6,115,14
Ondo,134,76,42,16
Enugu,126,92,29,5
Zamfara,76,0,71,5
Kebbi,67,21,40,6
Anambra,66,6,51,9
Niger,66,31,33,2
AkwaIbom,65,23,40,2
Yobe,56,3,45,8
Osun,54,4,46,4
Adamawa,42,1,37,4
Benue,39,27,12,0
Ekiti,34,4,28,2
Taraba,18,8,10,0
Kogi,3,3,0,0
